f_opportunity.f_oppcreated;f_opportunity.dt_created_id;f_opportunity.nm_id;f_opportunity.nm_name;f_opportunity.nm_url
39478;2008-02-01;(add)ventures > CompuSci;(add)ventures > CompuSci;http://www.google.com
39478;2008-02-01;360training.com > Educationly;360training.com > Educationly;http://www.google.com
39510;2008-03-04;(mt) Media Temple > CompuSci;(mt) Media Temple > CompuSci;http://www.google.com
39510;2008-03-04;3Cinteractive > Grammar Plus;3Cinteractive > Grammar Plus;http://www.google.com
39523;2008-03-17;3dCart Shopping Cart Software > Educationly;3dCart Shopping Cart Software > Educationly;http://www.google.com
39523;2008-03-17;(mt) Media Temple > Grammar Plus;(mt) Media Temple > Grammar Plus;http://www.google.com
39524;2008-03-18;.decimal > Explorer;.decimal > Explorer;http://www.google.com
39524;2008-03-18;3dCart Shopping Cart Software > Grammar Plus;3dCart Shopping Cart Software > Grammar Plus;http://www.google.com
39532;2008-03-26;@properties > CompuSci;@properties > CompuSci;http://www.google.com
39532;2008-03-26;3Degrees > Explorer;3Degrees > Explorer;http://www.google.com
39538;2008-04-01;1 Source Consulting > Explorer;1 Source Consulting > Explorer;http://www.google.com
39538;2008-04-01;3E > Explorer;3E > Explorer;http://www.google.com
39540;2008-04-03;4 Star Electronics > CompuSci;4 Star Electronics > CompuSci;http://www.google.com
39540;2008-04-03;1 Source Consulting > WonderKid;1 Source Consulting > WonderKid;http://www.google.com
39547;2008-04-10;49er Communications > Educationly;49er Communications > Educationly;http://www.google.com
39547;2008-04-10;1000Bulbs.com > PhoenixSoft;1000Bulbs.com > PhoenixSoft;http://www.google.com
39568;2008-05-01;101 Financial > Educationly;101 Financial > Educationly;http://www.google.com
39568;2008-05-01;5LINX Enterprises > PhoenixSoft;5LINX Enterprises > PhoenixSoft;http://www.google.com
39587;2008-05-20;4th Source > Educationly;4th Source > Educationly;http://www.google.com
39587;2008-05-20;14 West > Explorer;14 West > Explorer;http://www.google.com
39587;2008-05-20;4Wall Entertainment > Explorer;4Wall Entertainment > Explorer;http://www.google.com
39587;2008-05-20;101 Financial > WonderKid;101 Financial > WonderKid;http://www.google.com
39610;2008-06-12;1000Bulbs.com > Educationly;1000Bulbs.com > Educationly;http://www.google.com
39610;2008-06-12;614 Media Group > Educationly;614 Media Group > Educationly;http://www.google.com
39610;2008-06-12;123 Exteriors > Explorer;123 Exteriors > Explorer;http://www.google.com
39610;2008-06-12;5LINX Enterprises > Explorer;5LINX Enterprises > Explorer;http://www.google.com
39614;2008-06-16;1-800 Postcards > Educationly;1-800 Postcards > Educationly;http://www.google.com
39614;2008-06-16;614 Media Group > Grammar Plus;614 Media Group > Grammar Plus;http://www.google.com
39615;2008-06-17;1-800 We Answer > Explorer;1-800 We Answer > Explorer;http://www.google.com
39615;2008-06-17;6K Systems > Explorer;6K Systems > Explorer;http://www.google.com
39624;2008-06-26;7 Medical Systems > CompuSci;7 Medical Systems > CompuSci;http://www.google.com
39624;2008-06-26;1-888-OhioComp > Explorer;1-888-OhioComp > Explorer;http://www.google.com
39625;2008-06-27;1Source International > Educationly;1Source International > Educationly;http://www.google.com
39625;2008-06-27;6K Systems > WonderKid;6K Systems > WonderKid;http://www.google.com
39630;2008-07-02;720 Strategies > Educationly;720 Strategies > Educationly;http://www.google.com
39630;2008-07-02;1st Choice Staffing & Consulting > Explorer;1st Choice Staffing & Consulting > Explorer;http://www.google.com
39630;2008-07-02;7 Simple Machines > Explorer;7 Simple Machines > Explorer;http://www.google.com
39630;2008-07-02;A&R Tarpaulins > Explorer;A&R Tarpaulins > Explorer;http://www.google.com
39630;2008-07-02;A. Harold and Associates > Grammar Plus;A. Harold and Associates > Grammar Plus;http://www.google.com
39630;2008-07-02;1Source International > PhoenixSoft;1Source International > PhoenixSoft;http://www.google.com
39646;2008-07-18;A. Pomerantz & Co. > Explorer;A. Pomerantz & Co. > Explorer;http://www.google.com
39646;2008-07-18;1st Choice Staffing & Consulting > PhoenixSoft;1st Choice Staffing & Consulting > PhoenixSoft;http://www.google.com
39646;2008-07-18;720 Strategies > WonderKid;720 Strategies > WonderKid;http://www.google.com
39651;2008-07-23;2 Wheel Bikes > Educationly;2 Wheel Bikes > Educationly;http://www.google.com
39651;2008-07-23;7-Eleven > Educationly;7-Eleven > Educationly;http://www.google.com
39651;2008-07-23;A.B. Data > Explorer;A.B. Data > Explorer;http://www.google.com
39652;2008-07-24;1st in Video - Music World > Educationly;1st in Video - Music World > Educationly;http://www.google.com
39652;2008-07-24;90octane > Educationly;90octane > Educationly;http://www.google.com
39652;2008-07-24;A.R.M. Solutions > WonderKid;A.R.M. Solutions > WonderKid;http://www.google.com
39653;2008-07-25;A+ Mortgage Services > Educationly;A+ Mortgage Services > Educationly;http://www.google.com
39653;2008-07-25;2 Wheel Bikes > WonderKid;2 Wheel Bikes > WonderKid;http://www.google.com
39653;2008-07-25;90octane > WonderKid;90octane > WonderKid;http://www.google.com
