f_account.nm_name;f_stagehistory.f_duration;f_stagehistory.f_velocity;f_stagehistory.nm_id;f_opportunity.nm_name;f_product.nm_name;f_stage.nm_stagename
AC Lens;\N;71;3075;AC Lens > CompuSci;CompuSci;Closed Won
Vizio;\N;57;6246;Vizio > Educationly;Educationly;Closed Won
Vocera Communications;\N;110;6250;Vocera Communications > Educationly;Educationly;Closed Won
AMC Entertainment;\N;92;3130;AMC Entertainment > Educationly;Educationly;Closed Won
(add)ventures;\N;125;1268;(add)ventures > CompuSci;CompuSci;Closed Lost
(mt) Media Temple;\N;54;1269;(mt) Media Temple > CompuSci;CompuSci;Closed Lost
@properties;\N;116;1271;@properties > CompuSci;CompuSci;Closed Lost
7 Medical Systems;\N;124;1288;7 Medical Systems > CompuSci;CompuSci;Closed Lost
919 Marketing;\N;59;1292;919 Marketing > CompuSci;CompuSci;Closed Lost
919 Marketing;\N;92;1293;919 Marketing > PhoenixSoft;PhoenixSoft;Closed Lost
A White Orchid Wedding;13;67;6356;A White Orchid Wedding > CompuSci;CompuSci;Conviction
A White Orchid Wedding;14;53;6560;A White Orchid Wedding > CompuSci;CompuSci;Negotiation
A White Orchid Wedding;19;55;6691;A White Orchid Wedding > CompuSci;CompuSci;Risk Assessment
A White Orchid Wedding;\N;55;3061;A White Orchid Wedding > CompuSci;CompuSci;Closed Won
A&P Consulting Transportation Engineers;\N;94;1298;A&P Consulting Transportation Engineers > CompuSci;CompuSci;Closed Lost
A-1 Textiles;27;64;24;A-1 Textiles > CompuSci;CompuSci;Negotiation
A-1 Textiles;29;17;23;A-1 Textiles > CompuSci;CompuSci;Discovery
Aaron Oil Company;\N;89;1305;Aaron Oil Company > CompuSci;CompuSci;Closed Lost
Aaron's Sales & Lease Ownership;25;157;26;Aaron's Sales & Lease Ownership > CompuSci;CompuSci;Negotiation
Aaron's Sales & Lease Ownership;29;66;27;Aaron's Sales & Lease Ownership > CompuSci;CompuSci;Risk Assessment
Aaron's Sales & Lease Ownership;\N;82;1306;Aaron's Sales & Lease Ownership > PhoenixSoft;PhoenixSoft;Closed Lost
Aaron's Sales and Lease;\N;52;3069;Aaron's Sales and Lease > CompuSci;CompuSci;Closed Won
Abstract Displays;\N;75;1317;Abstract Displays > CompuSci;CompuSci;Closed Lost
Access Information Management;19;22;39;Access Information Management > CompuSci;CompuSci;Discovery
Access Information Management;28;26;40;Access Information Management > CompuSci;CompuSci;Risk Assessment
Access Information Management;\N;108;1324;Access Information Management > PhoenixSoft;PhoenixSoft;Closed Lost
Acclaris;\N;89;1328;Acclaris > CompuSci;CompuSci;Closed Lost
Accounting Management Solutions;\N;63;1332;Accounting Management Solutions > CompuSci;CompuSci;Closed Lost
Accuvant;\N;97;1337;Accuvant > PhoenixSoft;PhoenixSoft;Closed Lost
ACFN Franchised;\N;83;1338;ACFN Franchised > CompuSci;CompuSci;Closed Lost
Achatz Handmade Pie;\N;104;1339;Achatz Handmade Pie > CompuSci;CompuSci;Closed Lost
Active Website;\N;111;1346;Active Website > CompuSci;CompuSci;Closed Lost
Acumen Building Enterprise;\N;45;3085;Acumen Building Enterprise > CompuSci;CompuSci;Closed Won
Adaptik;\N;119;1349;Adaptik > CompuSci;CompuSci;Closed Lost
Adaptive Solutions;\N;86;1352;Adaptive Solutions > CompuSci;CompuSci;Closed Lost
ADC Integrated Systems;\N;99;1355;ADC Integrated Systems > CompuSci;CompuSci;Closed Lost
Additech;\N;124;1357;Additech > CompuSci;CompuSci;Closed Lost
Additech;\N;72;3089;Additech > PhoenixSoft;PhoenixSoft;Closed Won
ADEX Manufacturing Technologies;\N;61;1359;ADEX Manufacturing Technologies > CompuSci;CompuSci;Closed Lost
Adoresoft;\N;102;1361;Adoresoft > CompuSci;CompuSci;Closed Lost
Adperio;\N;111;1362;Adperio > CompuSci;CompuSci;Closed Lost
Adperio;\N;95;1363;Adperio > WonderKid;WonderKid;Closed Lost
Advanced Brain Monitoring;\N;112;1364;Advanced Brain Monitoring > CompuSci;CompuSci;Closed Lost
Advanced Educational Products;\N;109;1366;Advanced Educational Products > CompuSci;CompuSci;Closed Lost
Advanced Global Communications;\N;89;1368;Advanced Global Communications > CompuSci;CompuSci;Closed Lost
Advanced Systems Engineering;\N;67;1375;Advanced Systems Engineering > CompuSci;CompuSci;Closed Lost
AdvancedMD Software;35;14;60;AdvancedMD Software > CompuSci;CompuSci;Discovery
AdvancedMD Software;\N;72;59;AdvancedMD Software > CompuSci;CompuSci;Closed Won
AdvantageBridal.com;\N;84;3095;AdvantageBridal.com > CompuSci;CompuSci;Closed Won
Advent Global Solutions;15;24;62;Advent Global Solutions > CompuSci;CompuSci;Discovery
Advent Global Solutions;21;100;63;Advent Global Solutions > CompuSci;CompuSci;Negotiation
Adventure Life;\N;72;1385;Adventure Life > CompuSci;CompuSci;Closed Lost
Advisors Asset Management;11;111;66;Advisors Asset Management > CompuSci;CompuSci;Negotiation
Advisors Asset Management;22;60;67;Advisors Asset Management > Grammar Plus;Grammar Plus;Risk Assessment
Advisors Asset Management;22;\N;65;Advisors Asset Management > CompuSci;CompuSci;Interest
Advisors Asset Management;26;58;68;Advisors Asset Management > Grammar Plus;Grammar Plus;Short List
Advisors Asset Management;\N;63;64;Advisors Asset Management > CompuSci;CompuSci;Closed Won
Advocate Media;\N;67;3098;Advocate Media > CompuSci;CompuSci;Closed Won
Advocate Networks;\N;105;1388;Advocate Networks > CompuSci;CompuSci;Closed Lost
Aerial Services;15;36;6776;Aerial Services > CompuSci;CompuSci;Short List
Aerial Services;23;28;6695;Aerial Services > CompuSci;CompuSci;Risk Assessment
Aerial Services;\N;57;1393;Aerial Services > CompuSci;CompuSci;Closed Lost
Aero Solutions;\N;61;1394;Aero Solutions > CompuSci;CompuSci;Closed Lost
Aerospace & Commercial Technologies;14;56;6358;Aerospace & Commercial Technologies > Grammar Plus;Grammar Plus;Conviction
Aerospace & Commercial Technologies;16;39;6696;Aerospace & Commercial Technologies > Grammar Plus;Grammar Plus;Risk Assessment
Aerospace & Commercial Technologies;4;27;6777;Aerospace & Commercial Technologies > Grammar Plus;Grammar Plus;Short List
Aerospace & Commercial Technologies;\N;116;1395;Aerospace & Commercial Technologies > Grammar Plus;Grammar Plus;Closed Lost
Aerospace & Commercial Technologies;\N;75;3099;Aerospace & Commercial Technologies > CompuSci;CompuSci;Closed Won
Aerospace & Commercial Technologies;\N;98;3100;Aerospace & Commercial Technologies > Grammar Plus;Grammar Plus;Closed Won
agencyQ;14;24;76;agencyQ > CompuSci;CompuSci;Discovery
agencyQ;5;55;77;agencyQ > CompuSci;CompuSci;Short List
Agile;\N;AMC Entertainment;1401;Agile > CompuSci;CompuSci;Closed Lost
AIMS Power;\N;69;1406;AIMS Power > CompuSci;CompuSci;Closed Lost
Air Innovations;\N;122;1407;Air Innovations > CompuSci;CompuSci;Closed Lost
Airgun Depot;\N;57;1411;Airgun Depot > CompuSci;CompuSci;Closed Lost
AKASHA-US;\N;57;1417;AKASHA-US > CompuSci;CompuSci;Closed Lost
Alarm Team;\N;106;3110;Alarm Team > Grammar Plus;Grammar Plus;Closed Won
Alarm Team;\N;95;3109;Alarm Team > CompuSci;CompuSci;Closed Won
Alexa's Angels;\N;97;1428;Alexa's Angels > CompuSci;CompuSci;Closed Lost
Ali International;32;25;89;Ali International > CompuSci;CompuSci;Discovery
Ali International;6;138;90;Ali International > CompuSci;CompuSci;Negotiation
Ali International;\N;80;3112;Ali International > PhoenixSoft;PhoenixSoft;Closed Won
A-Life Medical;\N;85;1431;A-Life Medical > CompuSci;CompuSci;Closed Lost
Alinean;\N;101;1432;Alinean > CompuSci;CompuSci;Closed Lost
All Access Staging & Productions;\N;80;1433;All Access Staging & Productions > CompuSci;CompuSci;Closed Lost
All Action Architectural Metal & Glass;\N;85;1434;All Action Architectural Metal & Glass > CompuSci;CompuSci;Closed Lost
All American Rentals;12;53;91;All American Rentals > CompuSci;CompuSci;Risk Assessment
All American Rentals;2;47;92;All American Rentals > CompuSci;CompuSci;Short List
All Covered;\N;45;3114;All Covered > CompuSci;CompuSci;Closed Won
Allana Buick & Bers;\N;37;3122;Allana Buick & Bers > PhoenixSoft;PhoenixSoft;Closed Won
Allana Buick & Bers;\N;87;1442;Allana Buick & Bers > CompuSci;CompuSci;Closed Lost
allConnex;\N;118;1443;allConnex > CompuSci;CompuSci;Closed Lost
Allen Matkins Leck Gamble Mallory & Natsis;\N;60;1447;Allen Matkins Leck Gamble Mallory & Natsis > CompuSci;CompuSci;Closed Lost
Alliance Benefit Group of Illinois;23;23;6698;Alliance Benefit Group of Illinois > CompuSci;CompuSci;Risk Assessment
Alliance Benefit Group of Illinois;9;26;6780;Alliance Benefit Group of Illinois > CompuSci;CompuSci;Short List
Alliance Benefit Group of Illinois;\N;70;1448;Alliance Benefit Group of Illinois > CompuSci;CompuSci;Closed Lost
Allmenus.com;\N;60;1455;Allmenus.com > CompuSci;CompuSci;Closed Lost
Alpha Card Services;17;35;96;Alpha Card Services > PhoenixSoft;PhoenixSoft;Short List
Alpha Card Services;23;114;95;Alpha Card Services > PhoenixSoft;PhoenixSoft;Negotiation
Alpha Card Services;\N;92;1457;Alpha Card Services > CompuSci;CompuSci;Closed Lost
Alternate Solutions Homecare;\N;90;3126;Alternate Solutions Homecare > CompuSci;CompuSci;Closed Won
Altour;10;\N;6515;Altour > CompuSci;CompuSci;Interest
Altour;14;14;6428;Altour > CompuSci;CompuSci;Discovery
Altour;\N;57;1465;Altour > CompuSci;CompuSci;Closed Lost
Ameresco;\N;57;1475;Ameresco > CompuSci;CompuSci;Closed Lost
American Bancard;\N;123;1476;American Bancard > CompuSci;CompuSci;Closed Lost
American Communications;\N;44;3132;American Communications > CompuSci;CompuSci;Closed Won
American Fire Restoration;\N;108;1480;American Fire Restoration > CompuSci;CompuSci;Closed Lost
American IT Solutions;\N;51;1483;American IT Solutions > Grammar Plus;Grammar Plus;Closed Lost
American IT Solutions;\N;58;1482;American IT Solutions > CompuSci;CompuSci;Closed Lost
American IT Solutions;\N;AMC Entertainment;3133;American IT Solutions > Grammar Plus;Grammar Plus;Closed Won
American Reporting;\N;45;3134;American Reporting > CompuSci;CompuSci;Closed Won
American Solar Electric;\N;59;1490;American Solar Electric > WonderKid;WonderKid;Closed Lost
American Solar Electric;\N;91;1489;American Solar Electric > CompuSci;CompuSci;Closed Lost
American Technologies;\N;109;1493;American Technologies > CompuSci;CompuSci;Closed Lost
American Tire Distributors;\N;94;1494;American Tire Distributors > CompuSci;CompuSci;Closed Lost
American Unit;12;24;109;American Unit > CompuSci;CompuSci;Short List
American Unit;21;71;108;American Unit > CompuSci;CompuSci;Negotiation
America's Window;\N;110;1495;America's Window > CompuSci;CompuSci;Closed Lost
Amigo Mobility International;\N;96;1498;Amigo Mobility International > CompuSci;CompuSci;Closed Lost
Amnet Technology Solutions;\N;121;1499;Amnet Technology Solutions > CompuSci;CompuSci;Closed Lost
Anago Cleaning Systems;\N;82;1503;Anago Cleaning Systems > CompuSci;CompuSci;Closed Lost
ANDA Networks;\N;99;1507;ANDA Networks > CompuSci;CompuSci;Closed Lost
Angie's List;\N;77;1514;Angie's List > WonderKid;WonderKid;Closed Lost
Angie's List;\N;89;3144;Angie's List > CompuSci;CompuSci;Closed Won
Annie's;\N;65;1517;Annie's > CompuSci;CompuSci;Closed Lost
Ansafone Contact Centers;\N;55;1518;Ansafone Contact Centers > CompuSci;CompuSci;Closed Lost
Ansafone Contact Centers;\N;67;1519;Ansafone Contact Centers > PhoenixSoft;PhoenixSoft;Closed Lost
Answer Center America;\N;107;1520;Answer Center America > CompuSci;CompuSci;Closed Lost
AnswerLab;\N;49;1521;AnswerLab > CompuSci;CompuSci;Closed Lost
AnswerNet;\N;80;1522;AnswerNet > CompuSci;CompuSci;Closed Lost
Anu Resources Unlimited;\N;92;1527;Anu Resources Unlimited > CompuSci;CompuSci;Closed Lost
Apex Instruments;\N;118;1533;Apex Instruments > CompuSci;CompuSci;Closed Lost
APG;\N;76;3146;APG > CompuSci;CompuSci;Closed Won
Apparatus;6;17;6699;Apparatus > WonderKid;WonderKid;Risk Assessment
Apparatus;6;43;6567;Apparatus > WonderKid;WonderKid;Negotiation
Apparatus;\N;49;3147;Apparatus > WonderKid;WonderKid;Closed Won
Appia Communications;\N;50;3148;Appia Communications > CompuSci;CompuSci;Closed Won
