f_timeline.dt_timeline_id;f_timeline.dt_timeline
2000-01-01;36525
2000-01-02;36526
2000-01-03;36527
2000-01-04;36528
2000-01-05;36529
2000-01-06;36530
2000-01-07;36531
2000-01-08;36532
2000-01-09;36533
2000-01-10;36534
2000-01-11;36535
2000-01-12;36536
2000-01-13;36537
2000-01-14;36538
2000-01-15;36539
2000-01-16;36540
2000-01-17;36541
2000-01-18;36542
2000-01-19;36543
2000-01-20;36544
2000-01-21;36545
2000-01-22;36546
2000-01-23;36547
2000-01-24;36548
2000-01-25;36549
2000-01-26;36550
2000-01-27;36551
2000-01-28;36552
2000-01-29;36553
2000-01-30;36554
2000-01-31;36555
2000-02-01;36556
2000-02-02;36557
2000-02-03;36558
2000-02-04;36559
2000-02-05;36560
2000-02-06;36561
2000-02-07;36562
2000-02-08;36563
2000-02-09;36564
2000-02-10;36565
2000-02-11;36566
2000-02-12;36567
2000-02-13;36568
2000-02-14;36569
2000-02-15;36570
2000-02-16;36571
2000-02-17;36572
2000-02-18;36573
2000-02-19;36574
2000-02-20;36575
2000-02-21;36576
2000-02-22;36577
2000-02-23;36578
2000-02-24;36579
2000-02-25;36580
2000-02-26;36581
2000-02-27;36582
2000-02-28;36583
2000-02-29;36584
2000-03-01;36585
2000-03-02;36586
2000-03-03;36587
2000-03-04;36588
2000-03-05;36589
2000-03-06;36590
2000-03-07;36591
2000-03-08;36592
2000-03-09;36593
2000-03-10;36594
2000-03-11;36595
2000-03-12;36596
2000-03-13;36597
2000-03-14;36598
2000-03-15;36599
2000-03-16;36600
2000-03-17;36601
2000-03-18;36602
2000-03-19;36603
2000-03-20;36604
2000-03-21;36605
2000-03-22;36606
2000-03-23;36607
2000-03-24;36608
2000-03-25;36609
2000-03-26;36610
2000-03-27;36611
2000-03-28;36612
2000-03-29;36613
2000-03-30;36614
2000-03-31;36615
2000-04-01;36616
2000-04-02;36617
2000-04-03;36618
2000-04-04;36619
2000-04-05;36620
2000-04-06;36621
2000-04-07;36622
2000-04-08;36623
2000-04-09;36624
2000-04-10;36625
2000-04-11;36626
2000-04-12;36627
2000-04-13;36628
2000-04-14;36629
2000-04-15;36630
2000-04-16;36631
2000-04-17;36632
2000-04-18;36633
2000-04-19;36634
2000-04-20;36635
2000-04-21;36636
2000-04-22;36637
2000-04-23;36638
2000-04-24;36639
2000-04-25;36640
2000-04-26;36641
2000-04-27;36642
2000-04-28;36643
2000-04-29;36644
2000-04-30;36645
2000-05-01;36646
2000-05-02;36647
2000-05-03;36648
2000-05-04;36649
2000-05-05;36650
2000-05-06;36651
2000-05-07;36652
2000-05-08;36653
2000-05-09;36654
2000-05-10;36655
2000-05-11;36656
2000-05-12;36657
2000-05-13;36658
2000-05-14;36659
2000-05-15;36660
2000-05-16;36661
2000-05-17;36662
2000-05-18;36663
2000-05-19;36664
2000-05-20;36665
2000-05-21;36666
2000-05-22;36667
2000-05-23;36668
2000-05-24;36669
2000-05-25;36670
2000-05-26;36671
2000-05-27;36672
2000-05-28;36673
2000-05-29;36674
2000-05-30;36675
2000-05-31;36676
2000-06-01;36677
2000-06-02;36678
2000-06-03;36679
2000-06-04;36680
2000-06-05;36681
2000-06-06;36682
2000-06-07;36683
2000-06-08;36684
2000-06-09;36685
2000-06-10;36686
2000-06-11;36687
2000-06-12;36688
2000-06-13;36689
2000-06-14;36690
2000-06-15;36691
2000-06-16;36692
2000-06-17;36693
2000-06-18;36694
2000-06-19;36695
2000-06-20;36696
2000-06-21;36697
2000-06-22;36698
2000-06-23;36699
2000-06-24;36700
2000-06-25;36701
2000-06-26;36702
2000-06-27;36703
2000-06-28;36704
2000-06-29;36705
2000-06-30;36706
2000-07-01;36707
2000-07-02;36708
2000-07-03;36709
2000-07-04;36710
2000-07-05;36711
2000-07-06;36712
2000-07-07;36713
2000-07-08;36714
2000-07-09;36715
2000-07-10;36716
2000-07-11;36717
2000-07-12;36718
2000-07-13;36719
2000-07-14;36720
2000-07-15;36721
2000-07-16;36722
2000-07-17;36723
2000-07-18;36724
2000-07-19;36725
2000-07-20;36726
2000-07-21;36727
2000-07-22;36728
2000-07-23;36729
2000-07-24;36730
2000-07-25;36731
2000-07-26;36732
2000-07-27;36733
2000-07-28;36734
2000-07-29;36735
2000-07-30;36736
2000-07-31;36737
2000-08-01;36738
2000-08-02;36739
2000-08-03;36740
2000-08-04;36741
2000-08-05;36742
2000-08-06;36743
2000-08-07;36744
2000-08-08;36745
2000-08-09;36746
2000-08-10;36747
2000-08-11;36748
2000-08-12;36749
2000-08-13;36750
2000-08-14;36751
2000-08-15;36752
2000-08-16;36753
2000-08-17;36754
2000-08-18;36755
2000-08-19;36756
2000-08-20;36757
2000-08-21;36758
2000-08-22;36759
2000-08-23;36760
2000-08-24;36761
2000-08-25;36762
2000-08-26;36763
2000-08-27;36764
2000-08-28;36765
2000-08-29;36766
2000-08-30;36767
2000-08-31;36768
2000-09-01;36769
2000-09-02;36770
2000-09-03;36771
2000-09-04;36772
2000-09-05;36773
2000-09-06;36774
2000-09-07;36775
2000-09-08;36776
2000-09-09;36777
2000-09-10;36778
2000-09-11;36779
2000-09-12;36780
2000-09-13;36781
2000-09-14;36782
2000-09-15;36783
2000-09-16;36784
2000-09-17;36785
2000-09-18;36786
2000-09-19;36787
2000-09-20;36788
2000-09-21;36789
2000-09-22;36790
2000-09-23;36791
2000-09-24;36792
2000-09-25;36793
2000-09-26;36794
2000-09-27;36795
2000-09-28;36796
2000-09-29;36797
2000-09-30;36798
2000-10-01;36799
2000-10-02;36800
2000-10-03;36801
2000-10-04;36802
2000-10-05;36803
2000-10-06;36804
2000-10-07;36805
2000-10-08;36806
2000-10-09;36807
2000-10-10;36808
2000-10-11;36809
2000-10-12;36810
2000-10-13;36811
2000-10-14;36812
2000-10-15;36813
2000-10-16;36814
2000-10-17;36815
2000-10-18;36816
2000-10-19;36817
2000-10-20;36818
2000-10-21;36819
2000-10-22;36820
2000-10-23;36821
2000-10-24;36822
2000-10-25;36823
2000-10-26;36824
2000-10-27;36825
2000-10-28;36826
2000-10-29;36827
2000-10-30;36828
2000-10-31;36829
2000-11-01;36830
2000-11-02;36831
2000-11-03;36832
2000-11-04;36833
2000-11-05;36834
2000-11-06;36835
2000-11-07;36836
2000-11-08;36837
2000-11-09;36838
2000-11-10;36839
2000-11-11;36840
2000-11-12;36841
2000-11-13;36842
2000-11-14;36843
2000-11-15;36844
2000-11-16;36845
2000-11-17;36846
2000-11-18;36847
2000-11-19;36848
2000-11-20;36849
2000-11-21;36850
2000-11-22;36851
2000-11-23;36852
2000-11-24;36853
2000-11-25;36854
2000-11-26;36855
2000-11-27;36856
2000-11-28;36857
2000-11-29;36858
2000-11-30;36859
2000-12-01;36860
2000-12-02;36861
2000-12-03;36862
2000-12-04;36863
2000-12-05;36864
2000-12-06;36865
2000-12-07;36866
2000-12-08;36867
2000-12-09;36868
2000-12-10;36869
2000-12-11;36870
2000-12-12;36871
2000-12-13;36872
2000-12-14;36873
2000-12-15;36874
2000-12-16;36875
2000-12-17;36876
2000-12-18;36877
2000-12-19;36878
2000-12-20;36879
2000-12-21;36880
2000-12-22;36881
2000-12-23;36882
2000-12-24;36883
2000-12-25;36884
2000-12-26;36885
2000-12-27;36886
2000-12-28;36887
2000-12-29;36888
2000-12-30;36889
2000-12-31;36890
2001-01-01;36891
2001-01-02;36892
2001-01-03;36893
2001-01-04;36894
2001-01-05;36895
2001-01-06;36896
2001-01-07;36897
2001-01-08;36898
2001-01-09;36899
2001-01-10;36900
2001-01-11;36901
2001-01-12;36902
2001-01-13;36903
2001-01-14;36904
2001-01-15;36905
2001-01-16;36906
2001-01-17;36907
2001-01-18;36908
2001-01-19;36909
2001-01-20;36910
2001-01-21;36911
2001-01-22;36912
2001-01-23;36913
2001-01-24;36914
2001-01-25;36915
2001-01-26;36916
2001-01-27;36917
2001-01-28;36918
2001-01-29;36919
2001-01-30;36920
2001-01-31;36921
2001-02-01;36922
2001-02-02;36923
2001-02-03;36924
2001-02-04;36925
2001-02-05;36926
2001-02-06;36927
2001-02-07;36928
2001-02-08;36929
2001-02-09;36930
2001-02-10;36931
2001-02-11;36932
2001-02-12;36933
2001-02-13;36934
2001-02-14;36935
2001-02-15;36936
2001-02-16;36937
2001-02-17;36938
2001-02-18;36939
2001-02-19;36940
2001-02-20;36941
2001-02-21;36942
2001-02-22;36943
2001-02-23;36944
2001-02-24;36945
2001-02-25;36946
2001-02-26;36947
2001-02-27;36948
2001-02-28;36949
2001-03-01;36950
2001-03-02;36951
2001-03-03;36952
2001-03-04;36953
2001-03-05;36954
2001-03-06;36955
2001-03-07;36956
2001-03-08;36957
2001-03-09;36958
2001-03-10;36959
2001-03-11;36960
2001-03-12;36961
2001-03-13;36962
2001-03-14;36963
2001-03-15;36964
2001-03-16;36965
2001-03-17;36966
2001-03-18;36967
2001-03-19;36968
2001-03-20;36969
2001-03-21;36970
2001-03-22;36971
2001-03-23;36972
2001-03-24;36973
2001-03-25;36974
2001-03-26;36975
2001-03-27;36976
2001-03-28;36977
2001-03-29;36978
2001-03-30;36979
2001-03-31;36980
2001-04-01;36981
2001-04-02;36982
2001-04-03;36983
2001-04-04;36984
2001-04-05;36985
2001-04-06;36986
2001-04-07;36987
2001-04-08;36988
2001-04-09;36989
2001-04-10;36990
2001-04-11;36991
2001-04-12;36992
2001-04-13;36993
2001-04-14;36994
2001-04-15;36995
2001-04-16;36996
2001-04-17;36997
2001-04-18;36998
2001-04-19;36999
2001-04-20;37000
2001-04-21;37001
2001-04-22;37002
2001-04-23;37003
2001-04-24;37004
2001-04-25;37005
2001-04-26;37006
2001-04-27;37007
2001-04-28;37008
2001-04-29;37009
2001-04-30;37010
2001-05-01;37011
2001-05-02;37012
2001-05-03;37013
2001-05-04;37014
2001-05-05;37015
2001-05-06;37016
2001-05-07;37017
2001-05-08;37018
2001-05-09;37019
2001-05-10;37020
2001-05-11;37021
2001-05-12;37022
2001-05-13;37023
2001-05-14;37024
2001-05-15;37025
2001-05-16;37026
2001-05-17;37027
2001-05-18;37028
2001-05-19;37029
2001-05-20;37030
2001-05-21;37031
2001-05-22;37032
2001-05-23;37033
2001-05-24;37034
2001-05-25;37035
2001-05-26;37036
2001-05-27;37037
2001-05-28;37038
2001-05-29;37039
2001-05-30;37040
2001-05-31;37041
2001-06-01;37042
2001-06-02;37043
2001-06-03;37044
2001-06-04;37045
2001-06-05;37046
2001-06-06;37047
2001-06-07;37048
2001-06-08;37049
2001-06-09;37050
2001-06-10;37051
2001-06-11;37052
2001-06-12;37053
2001-06-13;37054
2001-06-14;37055
2001-06-15;37056
2001-06-16;37057
2001-06-17;37058
2001-06-18;37059
2001-06-19;37060
2001-06-20;37061
2001-06-21;37062
2001-06-22;37063
2001-06-23;37064
2001-06-24;37065
2001-06-25;37066
2001-06-26;37067
2001-06-27;37068
2001-06-28;37069
2001-06-29;37070
2001-06-30;37071
2001-07-01;37072
2001-07-02;37073
2001-07-03;37074
2001-07-04;37075
2001-07-05;37076
2001-07-06;37077
2001-07-07;37078
2001-07-08;37079
2001-07-09;37080
2001-07-10;37081
2001-07-11;37082
2001-07-12;37083
2001-07-13;37084
2001-07-14;37085
2001-07-15;37086
2001-07-16;37087
2001-07-17;37088
2001-07-18;37089
2001-07-19;37090
2001-07-20;37091
2001-07-21;37092
2001-07-22;37093
2001-07-23;37094
2001-07-24;37095
2001-07-25;37096
2001-07-26;37097
2001-07-27;37098
2001-07-28;37099
2001-07-29;37100
2001-07-30;37101
2001-07-31;37102
2001-08-01;37103
2001-08-02;37104
2001-08-03;37105
2001-08-04;37106
2001-08-05;37107
2001-08-06;37108
2001-08-07;37109
2001-08-08;37110
2001-08-09;37111
2001-08-10;37112
2001-08-11;37113
2001-08-12;37114
2001-08-13;37115
2001-08-14;37116
2001-08-15;37117
2001-08-16;37118
2001-08-17;37119
2001-08-18;37120
2001-08-19;37121
2001-08-20;37122
2001-08-21;37123
2001-08-22;37124
2001-08-23;37125
2001-08-24;37126
2001-08-25;37127
2001-08-26;37128
2001-08-27;37129
2001-08-28;37130
2001-08-29;37131
2001-08-30;37132
2001-08-31;37133
2001-09-01;37134
2001-09-02;37135
2001-09-03;37136
2001-09-04;37137
2001-09-05;37138
2001-09-06;37139
2001-09-07;37140
2001-09-08;37141
2001-09-09;37142
2001-09-10;37143
2001-09-11;37144
2001-09-12;37145
2001-09-13;37146
2001-09-14;37147
2001-09-15;37148
2001-09-16;37149
2001-09-17;37150
2001-09-18;37151
2001-09-19;37152
2001-09-20;37153
2001-09-21;37154
2001-09-22;37155
2001-09-23;37156
2001-09-24;37157
2001-09-25;37158
2001-09-26;37159
2001-09-27;37160
2001-09-28;37161
2001-09-29;37162
2001-09-30;37163
2001-10-01;37164
2001-10-02;37165
2001-10-03;37166
2001-10-04;37167
2001-10-05;37168
2001-10-06;37169
2001-10-07;37170
2001-10-08;37171
2001-10-09;37172
2001-10-10;37173
2001-10-11;37174
2001-10-12;37175
2001-10-13;37176
2001-10-14;37177
2001-10-15;37178
2001-10-16;37179
2001-10-17;37180
2001-10-18;37181
2001-10-19;37182
2001-10-20;37183
2001-10-21;37184
2001-10-22;37185
2001-10-23;37186
2001-10-24;37187
2001-10-25;37188
2001-10-26;37189
2001-10-27;37190
2001-10-28;37191
2001-10-29;37192
2001-10-30;37193
2001-10-31;37194
2001-11-01;37195
2001-11-02;37196
2001-11-03;37197
2001-11-04;37198
2001-11-05;37199
2001-11-06;37200
2001-11-07;37201
2001-11-08;37202
2001-11-09;37203
2001-11-10;37204
2001-11-11;37205
2001-11-12;37206
2001-11-13;37207
2001-11-14;37208
2001-11-15;37209
2001-11-16;37210
2001-11-17;37211
2001-11-18;37212
2001-11-19;37213
2001-11-20;37214
2001-11-21;37215
2001-11-22;37216
2001-11-23;37217
2001-11-24;37218
2001-11-25;37219
2001-11-26;37220
2001-11-27;37221
2001-11-28;37222
2001-11-29;37223
2001-11-30;37224
2001-12-01;37225
2001-12-02;37226
2001-12-03;37227
2001-12-04;37228
2001-12-05;37229
2001-12-06;37230
2001-12-07;37231
2001-12-08;37232
2001-12-09;37233
2001-12-10;37234
2001-12-11;37235
2001-12-12;37236
2001-12-13;37237
2001-12-14;37238
2001-12-15;37239
2001-12-16;37240
2001-12-17;37241
2001-12-18;37242
2001-12-19;37243
2001-12-20;37244
2001-12-21;37245
2001-12-22;37246
2001-12-23;37247
2001-12-24;37248
2001-12-25;37249
2001-12-26;37250
2001-12-27;37251
2001-12-28;37252
2001-12-29;37253
2001-12-30;37254
2001-12-31;37255
2002-01-01;37256
2002-01-02;37257
2002-01-03;37258
2002-01-04;37259
2002-01-05;37260
2002-01-06;37261
2002-01-07;37262
2002-01-08;37263
2002-01-09;37264
2002-01-10;37265
2002-01-11;37266
2002-01-12;37267
2002-01-13;37268
2002-01-14;37269
2002-01-15;37270
2002-01-16;37271
2002-01-17;37272
2002-01-18;37273
2002-01-19;37274
2002-01-20;37275
2002-01-21;37276
2002-01-22;37277
2002-01-23;37278
2002-01-24;37279
2002-01-25;37280
2002-01-26;37281
2002-01-27;37282
2002-01-28;37283
2002-01-29;37284
2002-01-30;37285
2002-01-31;37286
2002-02-01;37287
2002-02-02;37288
2002-02-03;37289
2002-02-04;37290
2002-02-05;37291
2002-02-06;37292
2002-02-07;37293
2002-02-08;37294
2002-02-09;37295
2002-02-10;37296
2002-02-11;37297
2002-02-12;37298
2002-02-13;37299
2002-02-14;37300
2002-02-15;37301
2002-02-16;37302
2002-02-17;37303
2002-02-18;37304
2002-02-19;37305
2002-02-20;37306
2002-02-21;37307
2002-02-22;37308
2002-02-23;37309
2002-02-24;37310
2002-02-25;37311
2002-02-26;37312
2002-02-27;37313
2002-02-28;37314
2002-03-01;37315
2002-03-02;37316
2002-03-03;37317
2002-03-04;37318
2002-03-05;37319
2002-03-06;37320
2002-03-07;37321
2002-03-08;37322
2002-03-09;37323
2002-03-10;37324
2002-03-11;37325
2002-03-12;37326
2002-03-13;37327
2002-03-14;37328
2002-03-15;37329
2002-03-16;37330
2002-03-17;37331
2002-03-18;37332
2002-03-19;37333
2002-03-20;37334
2002-03-21;37335
